Index, MaxDepth, RegressionAccuracy, MaxCategories, TermCritera, ClassCount, Accuracy
0, 12, 5, 0.010000, 50, 2, 0.638889 
1, 12, 5, 0.010000, 50, 2, 0.705556 
2, 12, 5, 0.010000, 50, 2, 0.788889 
3, 12, 5, 0.010000, 50, 2, 0.755556 
4, 12, 5, 0.010000, 50, 2, 0.666667 
5, 12, 5, 0.010000, 50, 2, 0.733333 
6, 12, 5, 0.010000, 50, 2, 0.677778 
7, 12, 5, 0.010000, 50, 2, 0.683333 
8, 12, 5, 0.010000, 50, 2, 0.716667 
Index, MaxDepth, RegressionAccuracy, MaxCategories, TermCritera, ClassCount, Accuracy
0, 12, 5, 0.010000, 100, 2, 0.661111 
1, 12, 5, 0.010000, 100, 2, 0.727778 
2, 12, 5, 0.010000, 100, 2, 0.750000 
3, 12, 5, 0.010000, 100, 2, 0.772222 
4, 12, 5, 0.010000, 100, 2, 0.672222 
5, 12, 5, 0.010000, 100, 2, 0.744444 
6, 12, 5, 0.010000, 100, 2, 0.711111 
7, 12, 5, 0.010000, 100, 2, 0.677778 
8, 12, 5, 0.010000, 100, 2, 0.688889 
Index, MaxDepth, RegressionAccuracy, MaxCategories, TermCritera, ClassCount, Accuracy
0, 12, 5, 0.010000, 200, 2, 0.661111 
1, 12, 5, 0.010000, 200, 2, 0.727778 
2, 12, 5, 0.010000, 200, 2, 0.755556 
3, 12, 5, 0.010000, 200, 2, 0.761111 
4, 12, 5, 0.010000, 200, 2, 0.677778 
5, 12, 5, 0.010000, 200, 2, 0.766667 
6, 12, 5, 0.010000, 200, 2, 0.700000 
7, 12, 5, 0.010000, 200, 2, 0.683333 
8, 12, 5, 0.010000, 200, 2, 0.666667 
Index, MaxDepth, RegressionAccuracy, MaxCategories, TermCritera, ClassCount, Accuracy
0, 12, 5, 0.010000, 400, 2, 0.644444 
1, 12, 5, 0.010000, 400, 2, 0.727778 
2, 12, 5, 0.010000, 400, 2, 0.766667 
3, 12, 5, 0.010000, 400, 2, 0.772222 
4, 12, 5, 0.010000, 400, 2, 0.677778 
5, 12, 5, 0.010000, 400, 2, 0.750000 
6, 12, 5, 0.010000, 400, 2, 0.700000 
7, 12, 5, 0.010000, 400, 2, 0.688889 
8, 12, 5, 0.010000, 400, 2, 0.688889 
Index, MaxDepth, RegressionAccuracy, MaxCategories, TermCritera, ClassCount, Accuracy
0, 12, 5, 0.010000, 50, 2, 0.638889 
1, 12, 5, 0.010000, 50, 2, 0.705556 
2, 12, 5, 0.010000, 50, 2, 0.788889 
3, 12, 5, 0.010000, 50, 2, 0.755556 
4, 12, 5, 0.010000, 50, 2, 0.666667 
5, 12, 5, 0.010000, 50, 2, 0.733333 
6, 12, 5, 0.010000, 50, 2, 0.677778 
7, 12, 5, 0.010000, 50, 2, 0.683333 
8, 12, 5, 0.010000, 50, 2, 0.716667 
Index, MaxDepth, RegressionAccuracy, MaxCategories, TermCritera, ClassCount, Accuracy
0, 12, 5, 0.010000, 100, 2, 0.661111 
1, 12, 5, 0.010000, 100, 2, 0.727778 
2, 12, 5, 0.010000, 100, 2, 0.750000 
3, 12, 5, 0.010000, 100, 2, 0.772222 
4, 12, 5, 0.010000, 100, 2, 0.672222 
5, 12, 5, 0.010000, 100, 2, 0.744444 
6, 12, 5, 0.010000, 100, 2, 0.711111 
7, 12, 5, 0.010000, 100, 2, 0.677778 
8, 12, 5, 0.010000, 100, 2, 0.688889 
Index, MaxDepth, RegressionAccuracy, MaxCategories, TermCritera, ClassCount, Accuracy
0, 12, 5, 0.010000, 200, 2, 0.661111 
1, 12, 5, 0.010000, 200, 2, 0.727778 
2, 12, 5, 0.010000, 200, 2, 0.755556 
3, 12, 5, 0.010000, 200, 2, 0.761111 
4, 12, 5, 0.010000, 200, 2, 0.677778 
5, 12, 5, 0.010000, 200, 2, 0.766667 
6, 12, 5, 0.010000, 200, 2, 0.700000 
7, 12, 5, 0.010000, 200, 2, 0.683333 
8, 12, 5, 0.010000, 200, 2, 0.666667 
Index, MaxDepth, RegressionAccuracy, MaxCategories, TermCritera, ClassCount, Accuracy
0, 12, 5, 0.010000, 400, 2, 0.644444 
1, 12, 5, 0.010000, 400, 2, 0.727778 
2, 12, 5, 0.010000, 400, 2, 0.766667 
3, 12, 5, 0.010000, 400, 2, 0.772222 
4, 12, 5, 0.010000, 400, 2, 0.677778 
5, 12, 5, 0.010000, 400, 2, 0.750000 
6, 12, 5, 0.010000, 400, 2, 0.700000 
7, 12, 5, 0.010000, 400, 2, 0.688889 
8, 12, 5, 0.010000, 400, 2, 0.688889 
Index, MaxDepth, RegressionAccuracy, MaxCategories, TermCritera, ClassCount, Accuracy
0, 12, 5, 0.010000, 50, 2, 0.638889 
1, 12, 5, 0.010000, 50, 2, 0.705556 
2, 12, 5, 0.010000, 50, 2, 0.788889 
3, 12, 5, 0.010000, 50, 2, 0.755556 
4, 12, 5, 0.010000, 50, 2, 0.666667 
5, 12, 5, 0.010000, 50, 2, 0.733333 
6, 12, 5, 0.010000, 50, 2, 0.677778 
7, 12, 5, 0.010000, 50, 2, 0.683333 
8, 12, 5, 0.010000, 50, 2, 0.716667 
Index, MaxDepth, RegressionAccuracy, MaxCategories, TermCritera, ClassCount, Accuracy
0, 12, 5, 0.010000, 100, 2, 0.661111 
1, 12, 5, 0.010000, 100, 2, 0.727778 
2, 12, 5, 0.010000, 100, 2, 0.750000 
3, 12, 5, 0.010000, 100, 2, 0.772222 
4, 12, 5, 0.010000, 100, 2, 0.672222 
5, 12, 5, 0.010000, 100, 2, 0.744444 
6, 12, 5, 0.010000, 100, 2, 0.711111 
7, 12, 5, 0.010000, 100, 2, 0.677778 
8, 12, 5, 0.010000, 100, 2, 0.688889 
Index, MaxDepth, RegressionAccuracy, MaxCategories, TermCritera, ClassCount, Accuracy
0, 12, 5, 0.010000, 200, 2, 0.661111 
1, 12, 5, 0.010000, 200, 2, 0.727778 
2, 12, 5, 0.010000, 200, 2, 0.755556 
3, 12, 5, 0.010000, 200, 2, 0.761111 
4, 12, 5, 0.010000, 200, 2, 0.677778 
5, 12, 5, 0.010000, 200, 2, 0.766667 
6, 12, 5, 0.010000, 200, 2, 0.700000 
7, 12, 5, 0.010000, 200, 2, 0.683333 
8, 12, 5, 0.010000, 200, 2, 0.666667 
Index, MaxDepth, RegressionAccuracy, MaxCategories, TermCritera, ClassCount, Accuracy
0, 12, 5, 0.010000, 400, 2, 0.644444 
1, 12, 5, 0.010000, 400, 2, 0.727778 
2, 12, 5, 0.010000, 400, 2, 0.766667 
3, 12, 5, 0.010000, 400, 2, 0.772222 
4, 12, 5, 0.010000, 400, 2, 0.677778 
5, 12, 5, 0.010000, 400, 2, 0.750000 
6, 12, 5, 0.010000, 400, 2, 0.700000 
7, 12, 5, 0.010000, 400, 2, 0.688889 
8, 12, 5, 0.010000, 400, 2, 0.688889 
