MaxDepth, RegressionAccuracy, MaxCategories, TermCritera, ClassCount, Test_Accuracy, Train_Accuracy
12, 18, 0.010000, 5, 2, 64.088402, 89.304207
12, 18, 0.010000, 10, 2, 70.165749, 93.085297
12, 18, 0.010000, 15, 2, 69.406082, 94.975830
12, 18, 0.010000, 20, 2, 69.820442, 95.657799
12, 18, 0.010000, 25, 2, 70.027626, 96.063538
12, 18, 0.010000, 30, 2, 69.613258, 96.590126
12, 18, 0.010000, 35, 2, 71.339783, 96.866371
12, 18, 0.010000, 40, 2, 69.820442, 96.849098
12, 18, 0.010000, 45, 2, 68.853584, 97.194412
12, 18, 0.010000, 50, 2, 69.475136, 97.090820
